Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Armadale,7 Llaneast St,3,h,1939,S,Jellis,3/12/2016,6.3,3143,3,2,2,296,150,1889,Stonnington,-37.8614,145.0274,Southern Metropolitan,4836
Ascot Vale,78 Francis St,3,h,1135,S,Brad,24/09/2016,5.9,3032,3,1,1,296,104,1910,Moonee Valley,-37.777,144.9176,Western Metropolitan,6567
Ascot Vale,30 Rothwell St,3,h,940,S,Nelson,3/12/2016,5.9,3032,3,1,2,298,108,1920,Moonee Valley,-37.7777,144.9195,Western Metropolitan,6567
Ascot Vale,25 Geddes St,4,h,950,PI,Nelson,24/09/2016,5.9,3032,4,2,1,298,147,1920,Moonee Valley,-37.7778,144.9131,Western Metropolitan,6567
Ascot Vale,12 Mirams St,4,h,890,SP,Raine,10/12/2016,5.9,3032,4,1,1,300,185,1890,Moonee Valley,-37.7766,144.9143,Western Metropolitan,6567
Armadale,42 Rose St,3,h,2250,S,Marshall,17/09/2016,6.3,3143,3,3,1,301,,,Stonnington,-37.8511,145.0167,Southern Metropolitan,4836
Ascot Vale,2/127 Epsom Rd,2,u,610,SP,Brad,16/04/2016,5.9,3032,2,1,1,301,104,1995,Moonee Valley,-37.7791,144.914,Western Metropolitan,6567
Airport West,154 Halsey Rd,3,t,840,PI,Nelson,3/9/2016,13.5,3042,3,2,1,303,225,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464
Ascot Vale,33 Hockey La,3,h,1255,S,Nelson,15/10/2016,5.9,3032,3,2,2,308,,,Moonee Valley,-37.7759,144.9338,Western Metropolitan,6567
Ashburton,3/39 Solway St,3,t,2050,S,Fletchers,3/12/2016,11,3147,3,3,4,310,315,2014,Boroondara,-37.874,145.0714,Southern Metropolitan,3052
Altona,1/170 Blyth St,3,u,630,S,Barlow,6/8/2016,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
Ascot Vale,7 Dalgety Dr,3,h,995,S,Nelson,26/07/2016,5.9,3032,3,2,1,314,177,2010,Moonee Valley,-37.7778,144.9042,Western Metropolitan,6567
Altona North,252 Millers Rd,4,h,693,SP,Raine&Horne,22/05/2016,11.1,3025,4,2,4,315,170,2008,Hobsons Bay,-37.8391,144.8467,Western Metropolitan,5132
Armadale,19 Glassford St,3,h,2365,S,Marshall,18/06/2016,6.3,3143,3,2,1,316,,,Stonnington,-37.8521,145.019,Southern Metropolitan,4836
Ascot Vale,83 Roseberry St,3,h,910,S,Raine,8/10/2016,5.9,3032,3,1,0,317,,,Moonee Valley,-37.7746,144.9112,Western Metropolitan,6567
Ascot Vale,1/20 Newsom St,3,t,1050,S,Jellis,19/11/2016,5.9,3032,3,2,2,318,160,2013,Moonee Valley,-37.7744,144.9035,Western Metropolitan,6567
Ashwood,1/2 Condah Ct,3,h,855,S,Noel,25/02/2017,12.2,3147,3,2,1,320,85,1958,Monash,-37.87,145.1103,Southern Metropolitan,2894
Ashburton,1/65 Ashburn Gr,4,t,1250,VB,Noel,27/11/2016,11,3147,4,2,2,321,199,2007,Boroondara,-37.8693,145.08,Southern Metropolitan,3052
Avondale Heights,14 Herbert St,3,h,585,SA,Barry,17/09/2016,10.5,3034,3,1,2,322,,,Moonee Valley,-37.7686,144.8576,Western Metropolitan,4502
Albert Park,22 Greig St,3,h,3755,S,Greg,26/07/2016,3.3,3206,3,2,2,325,,,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280
Ascot Vale,126 The Parade,2,h,1010,S,Brad,19/11/2016,5.9,3032,2,1,1,325,,,Moonee Valley,-37.7722,144.9117,Western Metropolitan,6567
Albert Park,55 Withers St,4,h,2800,VB,Cayzer,18/06/2016,3.3,3206,4,3,1,327,254,1910,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
Altona North,1/95 Mills St,3,h,588,S,Williams,7/5/2016,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,-37.838,144.8555,Western Metropolitan,5132
Armadale,63 Denbigh Rd,3,h,1900,S,Marshall,22/05/2016,6.3,3143,3,1,2,328,108,1900,Stonnington,-37.8559,145.0158,Southern Metropolitan,4836
Albert Park,115 Page St,4,h,4735,S,Marshall,25/02/2017,3.3,3206,4,2,1,330,207,1910,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
Ascot Vale,47 Hurtle St,2,h,940,S,Nelson,7/5/2016,5.9,3032,2,1,1,330,,,Moonee Valley,-37.773,144.9049,Western Metropolitan,6567
Armadale,12 Auburn Gr,3,h,2360,S,hockingstuart,18/03/2017,6.3,3143,3,2,0,336,,,Stonnington,-37.8558,145.015,Southern Metropolitan,4836
Avondale Heights,21 River Dr,3,t,880,S,Moonee,8/10/2016,10.5,3034,3,2,2,339,,,Moonee Valley,-37.7519,144.8534,Western Metropolitan,4502
Ascot Vale,32 Geddes St,4,h,1110,PI,Nelson,27/11/2016,5.9,3032,4,2,1,349,,1920,Moonee Valley,-37.7775,144.913,Western Metropolitan,6567
Ascot Vale,120 Epsom Rd,3,h,970,S,Brad,7/5/2016,5.9,3032,3,1,2,350,125,1904,Moonee Valley,-37.7759,144.91,Western Metropolitan,6567
Avondale Heights,36 Wood St,4,h,806,S,Moonee,4/3/2017,10.5,3034,4,2,1,350,,2008,Moonee Valley,-37.7676,144.859,Western Metropolitan,4502
Ashburton,6a Glen Rd,3,h,1662,S,Jellis,14/05/2016,11,3147,3,2,2,351,228,2006,Boroondara,-37.8742,145.07,Southern Metropolitan,3052
Altona,158 Queen St,3,h,520,VB,Greg,3/9/2016,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301
Altona,1/28 Seves St,3,h,712,S,hockingstuart,17/09/2016,13.8,3018,3,1,2,363,,,Hobsons Bay,-37.8674,144.8375,Western Metropolitan,5301
Ashwood,1/7 Farmer St,2,t,700,S,hockingstuart,7/11/2016,12.2,3147,2,1,2,367,110,1970,Monash,-37.8662,145.109,Southern Metropolitan,2894
Ashwood,1/53 Winbirra Pde,4,h,1200,SP,Purplebricks,4/3/2017,12.2,3147,4,3,2,372,201,2016,Monash,-37.8716,145.0999,Southern Metropolitan,2894
Ascot Vale,15 Bayview Tce,2,h,1150,S,Brad,18/03/2017,5.9,3032,2,1,1,387,,,Moonee Valley,-37.7734,144.9191,Western Metropolitan,6567
Ashwood,1/136 High Street Rd,3,h,761,PI,Fletchers,7/11/2016,12.2,3147,3,2,4,400,94,1950,Monash,-37.8675,145.106,Southern Metropolitan,2894
Armadale,791 High St,3,h,1800,PI,RT,15/10/2016,6.3,3143,3,2,2,405,121,1910,Stonnington,-37.8545,145.0145,Southern Metropolitan,4836
Ascot Vale,75 Munro St,2,h,925,S,Barry,30/07/2016,5.9,3032,2,1,1,407,,,Moonee Valley,-37.7756,144.9105,Western Metropolitan,6567
Alphington,136A Fulham Rd,3,h,1492,S,Jellis,4/3/2017,6.4,3078,3,2,2,411,,,Darebin,-37.7713,145.0279,Northern Metropolitan,2211
Ascot Vale,45 Bloomfield Rd,3,h,1291,S,Brad,23/04/2016,5.9,3032,3,1,2,414,,,Moonee Valley,-37.7766,144.9185,Western Metropolitan,6567
Ascot Vale,44 Walter St,3,h,1382,S,Barry,25/02/2017,5.9,3032,3,2,2,416,168,1900,Moonee Valley,-37.7727,144.9055,Western Metropolitan,6567
Ascot Vale,10 McCully St,3,h,1377,S,Nelson,6/8/2016,5.9,3032,3,1,1,417,168,1900,Moonee Valley,-37.7756,144.9208,Western Metropolitan,6567
Ascot Vale,43 Bloomfield Rd,4,h,1430,S,Nelson,22/05/2016,5.9,3032,4,2,0,418,158,1900,Moonee Valley,-37.7766,144.9187,Western Metropolitan,6567
Armadale,61 Union St,4,h,3660,S,Jellis,25/02/2017,6.3,3143,4,3,2,421,,,Stonnington,-37.8593,145.0275,Southern Metropolitan,4836
Airport West,144 Marshall Rd,3,h,715,S,Rendina,18/03/2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
Ascot Vale,2/21 Harold St,2,u,490,VB,Jellis,4/3/2017,5.9,3032,2,1,1,423,62,1970,Moonee Valley,-37.7736,144.9015,Western Metropolitan,6567
Ascot Vale,2 Farncomb St,3,h,801,S,Jellis,12/11/2016,5.9,3032,3,1,2,431,,1950,Moonee Valley,-37.781,144.9207,Western Metropolitan,6567
Ascot Vale,26 Newsom St,3,h,1000,PI,Brad,12/11/2016,5.9,3032,3,2,2,440,120,1955,Moonee Valley,-37.7746,144.9031,Western Metropolitan,6567
Ascot Vale,58 Bloomfield Rd,3,h,1215,S,Stockdale,28/08/2016,5.9,3032,3,1,1,452,175,1960,Moonee Valley,-37.7762,144.9174,Western Metropolitan,6567
Ascot Vale,45 Mirams St,3,h,1410,PI,Nelson,27/11/2016,5.9,3032,3,2,2,459,,,Moonee Valley,-37.7767,144.9124,Western Metropolitan,6567
Ascot Vale,26 Ayr St,6,h,1430,S,Nelson,16/04/2016,5.9,3032,4,2,1,461,286,1900,Moonee Valley,-37.78,144.9295,Western Metropolitan,6567
Ashwood,31a Douglas St,3,u,1045,S,Tim,4/3/2017,12.2,3147,3,2,2,467,,,Monash,-37.8639,145.0968,Southern Metropolitan,2894
Ascot Vale,44 The Parade,4,h,1850,S,Brad,4/3/2017,5.9,3032,4,3,1,478,270,1900,Moonee Valley,-37.7729,144.9179,Western Metropolitan,6567
Ascot Vale,78 The Parade,3,h,1440,S,Nelson,11/2/2017,5.9,3032,3,1,1,487,131,1900,Moonee Valley,-37.7725,144.9146,Western Metropolitan,6567
Ascot Vale,57 The Parade,3,h,940,S,Nelson,16/04/2016,5.9,3032,3,3,1,491,127,1950,Moonee Valley,-37.7727,144.9136,Western Metropolitan,6567
Armadale,25 Llaneast St,4,h,2200,PI,Jellis,15/10/2016,6.3,3143,4,1,2,495,163,1900,Stonnington,-37.8613,145.0264,Southern Metropolitan,4836
Ascot Vale,52 Monash St,3,h,1425,PI,Jellis,13/08/2016,5.9,3032,3,2,2,495,139,1920,Moonee Valley,-37.7821,144.9055,Western Metropolitan,6567
Altona,4 Blyth St,3,h,1120,S,Barlow,4/3/2017,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
Ascot Vale,21A Geddes St,3,h,1038,S,Alexkarbon,19/11/2016,5.9,3032,3,1,2,506,110,1920,Moonee Valley,-37.7779,144.9133,Western Metropolitan,6567
Airport West,49 Roberts Rd,4,h,765,S,Prof.,27/11/2016,13.5,3042,4,1,2,509,,,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464
Ashburton,33 Highgate Gr,4,h,1790,PI,hockingstuart,28/05/2016,11,3147,4,2,2,514,240,1935,Boroondara,-37.8664,145.0772,Southern Metropolitan,3052
Ashburton,1/1 Nairn St,3,h,1518,S,Jellis,10/9/2016,11,3147,3,2,2,516,145,1920,Boroondara,-37.8675,145.0668,Southern Metropolitan,3052
Ascot Vale,54 South St,5,h,1905,S,Nelson,18/03/2017,5.9,3032,5,2,2,521,,,Moonee Valley,-37.7778,144.9261,Western Metropolitan,6567
Ashwood,4 Peppermint Ct,4,h,1510,S,Buxton,8/10/2016,12.2,3147,4,2,2,526,,,Monash,-37.8661,145.1013,Southern Metropolitan,2894
Altona,24 McIntyre Dr,3,h,753,S,Barlow,27/06/2016,13.8,3018,3,2,2,529,,,Hobsons Bay,-37.8612,144.8247,Western Metropolitan,5301
Avondale Heights,31 Duke St,3,h,750,S,Barry,8/10/2016,10.5,3034,3,1,1,529,,,Moonee Valley,-37.7721,144.8576,Western Metropolitan,4502
Altona,11 Keeshan Ct,3,h,684,S,Greg,7/11/2016,13.8,3018,3,1,1,530,,,Hobsons Bay,-37.8594,144.817,Western Metropolitan,5301
Airport West,6 Kittyhawk St,4,h,773,S,Brad,17/09/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
Altona North,2 Gadsden St,3,h,729,S,Jas,22/08/2016,11.1,3025,3,1,1,531,157,1960,Hobsons Bay,-37.8277,144.8385,Western Metropolitan,5132
Airport West,34 Moorna Dr,4,h,978,S,Nelson,24/09/2016,13.5,3042,4,3,2,532,,,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464
Altona,3 Curtin Ct,4,h,931,S,Sweeney,28/08/2016,13.8,3018,4,2,3,532,,1970,Hobsons Bay,-37.8637,144.8365,Western Metropolitan,5301
Ascot Vale,8 Pentland St,3,h,1435,S,Nelson,12/11/2016,5.9,3032,3,2,2,532,147,1950,Moonee Valley,-37.7737,144.904,Western Metropolitan,6567
Altona North,4 Knapp St,3,h,781,S,Jas,3/9/2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132
Altona,27 McIntyre Dr,3,h,840,SP,Greg,18/03/2017,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,-37.86,144.8245,Western Metropolitan,5301
Altona North,33 Carthy St,3,h,683,S,FN,4/6/2016,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,5132
Altona North,10 Knapp St,3,h,625,PI,Hunter,28/05/2016,11.1,3025,3,1,1,536,,,Hobsons Bay,-37.8285,144.8351,Western Metropolitan,5132
Ascot Vale,37 Epsom Rd,3,h,1050,SP,Frank,26/07/2016,5.9,3032,3,1,3,536,,,Moonee Valley,-37.7728,144.9076,Western Metropolitan,6567
Altona North,16 Harris St,3,h,623,S,Sweeney,4/6/2016,11.1,3025,3,1,3,540,,,Hobsons Bay,-37.8267,144.8368,Western Metropolitan,5132
Altona North,5 Binns St,3,h,710,PI,Village,7/11/2016,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,-37.8294,144.8378,Western Metropolitan,5132
Avondale Heights,105 Canning St,3,h,848,S,Nelson,4/3/2017,10.5,3034,3,1,2,542,,,Moonee Valley,-37.7706,144.8629,Western Metropolitan,4502
Armadale,17 Kooyong Rd,4,h,2000,PI,Marshall,28/05/2016,6.3,3143,4,3,4,544,,,Stonnington,-37.8611,145.0195,Southern Metropolitan,4836
Ashburton,4 Baker Pde,3,h,1500,S,hockingstuart,22/05/2016,11,3147,3,1,2,545,,,Boroondara,-37.8605,145.0833,Southern Metropolitan,3052
Avondale Heights,49 Rogerson St,3,h,795,S,Barry,28/05/2016,10.5,3034,3,1,1,549,,,Moonee Valley,-37.7644,144.8575,Western Metropolitan,4502
Avondale Heights,97 Military Rd,3,h,628,SP,Moonee,8/10/2016,10.5,3034,3,1,1,550,143,1970,Moonee Valley,-37.7632,144.8622,Western Metropolitan,4502
Altona North,16 Beevers St,3,h,680,S,Sweeney,19/11/2016,11.1,3025,3,1,3,551,,,Hobsons Bay,-37.8254,144.8514,Western Metropolitan,5132
Ascot Vale,15 Mirams St,4,h,1345,S,Jellis,25/02/2017,5.9,3032,4,1,1,552,155,1920,Moonee Valley,-37.7769,144.9138,Western Metropolitan,6567
Altona North,21 Hatherley Gr,3,h,750,SP,Jas,4/3/2017,11.1,3025,3,1,3,554,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,5132
Altona North,21 Hatherley Gr,3,h,700,VB,Jas,10/12/2016,11.1,3025,3,1,3,554,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,5132
Avondale Heights,72 Military Rd,4,h,680,PI,Nelson,24/09/2016,10.5,3034,4,2,2,554,140,1960,Moonee Valley,-37.7649,144.8633,Western Metropolitan,4502
Airport West,478 Fullarton Rd,3,h,810,PI,Barry,18/03/2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
Altona North,6 Hill St,3,h,815,S,hockingstuart,25/02/2017,11.1,3025,3,2,3,555,130,1960,Hobsons Bay,-37.8318,144.8388,Western Metropolitan,5132
Ascot Vale,43 Mirams St,3,h,1060,PI,Nelson,27/11/2016,5.9,3032,3,1,1,555,,,Moonee Valley,-37.7767,144.9125,Western Metropolitan,6567
Alphington,11 Margaret Gr,4,h,1900,SP,McGrath,27/11/2016,6.4,3078,4,2,2,556,272,1930,Yarra,-37.7844,145.0225,Northern Metropolitan,2211
Altona North,107 McIntosh Rd,3,h,700,SP,Hunter,27/11/2016,11.1,3025,3,1,1,557,,,Hobsons Bay,-37.8441,144.8505,Western Metropolitan,5132
Ashwood,147 Huntingdale Rd,3,h,785,S,Buxton,19/11/2016,12.2,3147,3,1,1,557,,1960,Monash,-37.8671,145.1117,Southern Metropolitan,2894
Avondale Heights,157 Canning St,3,t,851,S,Nelson,3/12/2016,10.5,3034,3,3,1,557,181,2017,Moonee Valley,-37.77,144.8572,Western Metropolitan,4502
Altona North,21 Allan St,4,h,650,SP,Williams,12/6/2016,11.1,3025,4,1,4,558,,,Hobsons Bay,-37.8451,144.8529,Western Metropolitan,5132
Altona North,25 Allan St,4,h,875,SP,Jas,8/10/2016,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,-37.8448,144.8529,Western Metropolitan,5132
Ascot Vale,125 Epsom Rd,4,h,1100,VB,Nelson,15/10/2016,5.9,3032,4,2,5,559,195,1920,Moonee Valley,-37.7791,144.9136,Western Metropolitan,6567
Altona North,122 McIntosh Rd,3,h,590,S,Village,23/04/2016,11.1,3025,3,1,2,561,,,Hobsons Bay,-37.8444,144.8491,Western Metropolitan,5132
Ascot Vale,7 Angler Pde,4,h,1640,S,Raine,16/04/2016,5.9,3032,4,3,2,562,204,1890,Moonee Valley,-37.782,144.903,Western Metropolitan,6567
Armadale,44 Hampden Rd,4,h,4200,VB,Kay,27/11/2016,6.3,3143,4,3,3,563,333,2000,Stonnington,-37.8582,145.0138,Southern Metropolitan,4836
Avondale Heights,2 Arbor Tce,4,h,1155,S,Nelson,4/6/2016,10.5,3034,3,2,2,569,225,2008,Moonee Valley,-37.7654,144.8655,Western Metropolitan,4502
Avondale Heights,328 Milleara Rd,4,h,605,S,Barry,27/11/2016,10.5,3034,4,1,0,569,,,Moonee Valley,-37.7563,144.8601,Western Metropolitan,4502
Avondale Heights,68 Thompson St,3,h,680,S,Nelson,6/8/2016,10.5,3034,3,1,2,570,120,1970,Moonee Valley,-37.7591,144.8542,Western Metropolitan,4502
Avondale Heights,10 Intervale Dr,4,h,790,S,Barry,27/11/2016,10.5,3034,4,2,2,570,,,Moonee Valley,-37.7513,144.859,Western Metropolitan,4502
Avondale Heights,12 Skewes St,3,h,636,S,Nelson,4/6/2016,10.5,3034,2,1,2,571,,,Moonee Valley,-37.7605,144.8581,Western Metropolitan,4502
Avondale Heights,7 Monmouth St,3,h,650,SP,Moonee,15/10/2016,10.5,3034,3,1,3,574,,,Moonee Valley,-37.7627,144.857,Western Metropolitan,4502
Avondale Heights,8 Westminster Dr,5,h,850,SP,Moonee,18/06/2016,10.5,3034,5,2,4,574,,,Moonee Valley,-37.7639,144.8615,Western Metropolitan,4502
Alphington,38 Bennett St,4,h,2100,S,Nelson,19/11/2016,6.4,3078,4,2,2,575,271,2008,Darebin,-37.7723,145.0319,Northern Metropolitan,2211
Ascot Vale,57 Monash St,3,h,1350,S,Brad,18/03/2017,5.9,3032,3,1,3,575,,,Moonee Valley,-37.7828,144.9049,Western Metropolitan,6567
Ascot Vale,6 Waller Ct,3,h,786,S,Brad,26/07/2016,5.9,3032,3,2,1,576,120,1940,Moonee Valley,-37.7816,144.9217,Western Metropolitan,6567
Altona,185 Queen St,3,h,880,PI,Barlow,22/08/2016,13.8,3018,3,3,1,577,,,Hobsons Bay,-37.8699,144.8235,Western Metropolitan,5301
Airport West,10 Hilbert Rd,3,h,685,S,Barry,22/05/2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
Avondale Heights,8 Herbert St,3,h,705,S,Nelson,22/05/2016,10.5,3034,3,1,1,581,106,1960,Moonee Valley,-37.7691,144.8575,Western Metropolitan,4502
Avondale Heights,43 Skewes St,3,h,634,S,Nelson,28/05/2016,10.5,3034,4,2,1,582,153,1950,Moonee Valley,-37.7584,144.8568,Western Metropolitan,4502
Ashburton,5 Nicholas St,3,h,1337,S,Buxton,8/10/2016,11,3147,3,1,2,583,112,1950,Boroondara,-37.8685,145.0786,Southern Metropolitan,3052
Ashburton,12 Meaden St,3,h,1422,S,Buxton,27/11/2016,11,3147,3,1,2,583,,,Boroondara,-37.8679,145.0781,Southern Metropolitan,3052
Ashwood,18 Teck St,2,h,995,S,Tim,3/9/2016,12.2,3147,2,1,1,583,,1950,Monash,-37.8693,145.1082,Southern Metropolitan,2894
Airport West,33 North St,3,h,720,PI,Nelson,25/02/2017,13.5,3042,3,1,1,585,,,Moonee Valley,-37.72,144.878,Western Metropolitan,3464
Altona North,11 Beevers St,3,h,708,S,Greg,15/10/2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,-37.8258,144.8523,Western Metropolitan,5132
Ashwood,16 Scenic Dr,5,h,1530,S,Buxton,17/09/2016,12.2,3147,5,3,2,585,317,2000,Monash,-37.8637,145.1024,Southern Metropolitan,2894
Avondale Heights,11 South Tce,3,h,850,SP,Moonee,25/02/2017,10.5,3034,3,2,8,585,,,Moonee Valley,-37.751,144.8571,Western Metropolitan,4502
Avondale Heights,62 Skewes St,4,h,890,S,Moonee,27/11/2016,10.5,3034,4,2,4,585,,1960,Moonee Valley,-37.757,144.8566,Western Metropolitan,4502
Ashwood,4 Teck St,2,h,1110,S,Fletchers,24/09/2016,12.2,3147,2,1,1,586,86,1950,Monash,-37.8683,145.1082,Southern Metropolitan,2894
Avondale Heights,20 Westminster Dr,3,h,893,S,Nelson,22/05/2016,10.5,3034,3,1,1,586,118,1965,Moonee Valley,-37.7642,144.8603,Western Metropolitan,4502
Avondale Heights,8 Moffat St,3,h,695,S,HAR,23/04/2016,10.5,3034,3,1,2,588,,,Moonee Valley,-37.771,144.8586,Western Metropolitan,4502
Alphington,42 Shiers St,4,h,1950,S,Jellis,30/07/2016,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
Avondale Heights,109 North Rd,4,h,762,S,Nelson,26/07/2016,10.5,3034,4,2,2,589,150,1961,Moonee Valley,-37.7573,144.8534,Western Metropolitan,4502
Altona North,24 Hansen St,3,h,931,S,hockingstuart,22/08/2016,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,-37.8382,144.8649,Western Metropolitan,5132
Avondale Heights,63 Doyle St,3,h,642,SP,Moonee,28/08/2016,10.5,3034,3,1,1,590,,1960,Moonee Valley,-37.7567,144.8572,Western Metropolitan,4502
Alphington,44 Naroon Rd,3,h,1540,S,Nelson,16/04/2016,6.4,3078,3,1,2,592,,,Darebin,-37.7755,145.0288,Northern Metropolitan,2211
Altona North,45 Hearn St,5,h,1085,S,FN,3/9/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,5132
Ashwood,3 Harold St,4,h,1500,S,Buxton,15/10/2016,12.2,3147,4,2,1,593,255,1930,Monash,-37.8655,145.096,Southern Metropolitan,2894
Avondale Heights,8 Norma Ct,3,h,850,S,Moonee,3/9/2016,10.5,3034,3,1,1,593,118,1970,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502
Avondale Heights,10 Skewes St,3,h,805,S,Nelson,27/11/2016,10.5,3034,3,2,2,593,103,1970,Moonee Valley,-37.7607,144.8581,Western Metropolitan,4502
Ascot Vale,41 Monash St,3,h,1230,S,Nelson,8/10/2016,5.9,3032,4,1,2,594,148,1960,Moonee Valley,-37.7819,144.9064,Western Metropolitan,6567
Airport West,241 Parer Rd,5,h,755,PI,Propertyau,14/05/2016,13.5,3042,3,2,2,596,,,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,785,S,Considine,6/8/2016,13.5,3042,3,1,2,597,127,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
Alphington,6 Naroon Rd,3,h,1485,SP,McGrath,28/08/2016,6.4,3078,3,0,0,597,,,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
Ascot Vale,95 Walter St,4,h,1480,S,Raine,17/09/2016,5.9,3032,4,2,2,597,180,1939,Moonee Valley,-37.7757,144.9088,Western Metropolitan,6567
Avondale Heights,61 Doyle St,3,h,635,SP,Moonee,26/07/2016,10.5,3034,3,1,1,597,,,Moonee Valley,-37.7568,144.8572,Western Metropolitan,4502
Ascot Vale,5 Doncaster St,4,h,1705,S,Jellis,30/07/2016,5.9,3032,4,2,4,598,273,2012,Moonee Valley,-37.7774,144.9104,Western Metropolitan,6567
Alphington,44 Shiers St,4,h,1718,S,Collins,8/10/2016,6.4,3078,4,2,1,599,203,1925,Darebin,-37.7717,145.031,Northern Metropolitan,2211
Ashburton,69 Albion Rd,3,h,1670,S,Jellis,3/12/2016,11,3147,3,2,2,599,220,1930,Boroondara,-37.8673,145.0688,Southern Metropolitan,3052
Altona,156 Maidstone St,3,h,660,VB,Greg,7/5/2016,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
Altona North,21 Neal Ct,3,h,770,SP,hockingstuart,19/11/2016,11.1,3025,3,1,3,602,603,,Hobsons Bay,-37.8327,144.8451,Western Metropolitan,5132
Altona,219 Civic Pde,3,h,740,S,Greg,28/08/2016,13.8,3018,3,1,2,604,,,Hobsons Bay,-37.8631,144.8195,Western Metropolitan,5301
Ashburton,14 Lucerne St,3,h,1415,S,Buxton,27/06/2016,11,3147,3,1,1,605,111,1950,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052
Alphington,10 Bennett St,4,h,1830,S,Nelson,19/11/2016,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
Altona,22 Fenfield St,3,h,678,S,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301
Avondale Heights,15 River Dr,3,h,725,SP,Moonee,15/10/2016,10.5,3034,3,1,4,606,,,Moonee Valley,-37.752,144.854,Western Metropolitan,4502
Avondale Heights,57 North Rd,3,h,740,SP,Moonee,28/08/2016,10.5,3034,3,1,2,607,,,Moonee Valley,-37.7546,144.857,Western Metropolitan,4502
Airport West,174 Parer Rd,2,h,675,S,Barry,16/07/2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042,S,Nelson,16/07/2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662,S,Brad,23/04/2016,13.5,3042,3,1,2,612,,,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790,S,Nelson,18/03/2017,13.5,3042,3,1,3,614,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
Armadale,4 Mercer Rd,3,h,3513,S,Marshall,27/11/2016,6.3,3143,3,2,2,617,285,1998,Stonnington,-37.8557,145.0264,Southern Metropolitan,4836
Armadale,16 Llaneast St,5,h,2810,S,Marshall,28/08/2016,6.3,3143,5,2,2,617,,,Stonnington,-37.8611,145.0271,Southern Metropolitan,4836
Ascot Vale,67 Hurtle St,3,h,1180,SP,Brad,17/09/2016,5.9,3032,3,2,2,617,149,1930,Moonee Valley,-37.7742,144.906,Western Metropolitan,6567
Airport West,54 Marshall Rd,3,h,720,S,Barry,6/8/2016,13.5,3042,2,1,1,620,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464
